"ID番号","_02"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:29:20"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",232.54
"総合COP 速度（cm/秒）", 72.67
"総合COP 矩形面積（c ㎡）",5054.11
"総合COP 左右幅（cm）", 22.89
"総合COP 前後幅（cm）",220.80
"総合COP Y 方向軌跡長（cm）", 65.67
"総合COP Y 方向単位軌跡長（cm/秒）", 20.52
"総合COP X 方向軌跡長（cm）",220.82
"総合COP X 方向単位軌跡長（cm/秒）", 69.01
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  1.51,132.61, 38.12, 56.22, 56.00,  5.00
  1.52,132.95, 38.16, 34.23, 34.00,  4.00
  1.53,133.32, 38.18, 37.05, 37.00,  2.00
  1.54,133.68, 38.17, 36.01, 36.00,  1.00
  1.55,134.07, 38.19, 39.05, 39.00,  2.00
  1.56,134.41, 38.21, 34.06, 34.00,  2.00
  1.57,134.84, 38.21, 43.00, 43.00,  0.00
  1.58,135.24, 38.22, 40.01, 40.00,  1.00
  1.59,135.71, 38.21, 47.01, 47.00,  1.00
  1.60,136.21, 38.22, 50.01, 50.00,  1.00
  1.61,136.65, 38.20, 44.05, 44.00,  2.00
  1.62,137.19, 38.26, 54.33, 54.00,  6.00
  1.63,137.70, 38.30, 51.16, 51.00,  4.00
  1.64,138.14, 38.26, 44.18, 44.00,  4.00
  1.65,138.68, 38.25, 54.01, 54.00,  1.00
  1.66,139.07, 38.23, 39.05, 39.00,  2.00
  1.67,139.29, 38.24, 22.02, 22.00,  1.00
  1.68,139.52, 38.21, 23.19, 23.00,  3.00
  1.69,139.68, 38.19, 16.12, 16.00,  2.00
  1.70,139.78, 38.15, 10.77, 10.00,  4.00
  1.71,139.91, 38.12, 13.34, 13.00,  3.00
  1.72,140.00, 38.11,  9.06,  9.00,  1.00
  1.73,140.12, 38.05, 13.42, 12.00,  6.00
  1.74,140.21, 38.07,  9.22,  9.00,  2.00
  1.75,140.29, 38.03,  8.94,  8.00,  4.00
  1.76,140.35, 38.03,  6.00,  6.00,  0.00
  1.77,140.42, 37.98,  8.60,  7.00,  5.00
  1.78,140.50, 37.94,  8.94,  8.00,  4.00
  1.79,140.56, 37.92,  6.32,  6.00,  2.00
  1.80,140.60, 37.91,  4.12,  4.00,  1.00
  1.81,140.66, 37.90,  6.08,  6.00,  1.00
  1.82,140.69, 37.84,  6.71,  3.00,  6.00
  1.83,140.74, 37.84,  5.00,  5.00,  0.00
  1.84,140.83, 37.78, 10.82,  9.00,  6.00
  1.85,140.88, 37.75,  5.83,  5.00,  3.00
  1.86,140.93, 37.74,  5.10,  5.00,  1.00
  1.87,140.96, 37.74,  3.00,  3.00,  0.00
  1.88,141.03, 37.67,  9.90,  7.00,  7.00
  1.89,141.15, 37.63, 12.65, 12.00,  4.00
  1.90,141.19, 37.62,  4.12,  4.00,  1.00
  1.91,141.29, 37.57, 11.18, 10.00,  5.00
  1.92,144.17, 36.68,301.44,288.00, 89.00
  1.93,150.21, 34.71,635.31,604.00,197.00
  1.94,151.89, 34.20,175.57,168.00, 51.00
  1.95,152.61, 33.97, 75.58, 72.00, 23.00
  1.96,152.90, 33.83, 32.20, 29.00, 14.00
  1.97,153.91, 33.49,106.57,101.00, 34.00
  1.98,155.27, 32.99,144.90,136.00, 50.00
  1.99,156.66, 32.58,144.92,139.00, 41.00
  2.00,159.26, 31.70,274.49,260.00, 88.00
  2.01,162.19, 30.79,306.81,293.00, 91.00
  2.02,165.52, 29.79,347.69,333.00,100.00
  2.03,169.75, 28.62,438.88,423.00,117.00
  2.04,173.69, 27.56,408.01,394.00,106.00
  2.05,177.60, 26.50,405.11,391.00,106.00
  2.06,181.24, 25.68,373.12,364.00, 82.00
  2.07,183.25, 25.16,207.62,201.00, 52.00
  2.08,184.75, 24.86,152.97,150.00, 30.00
  2.09,185.10, 24.82, 35.23, 35.00,  4.00
  2.10,185.43, 24.79, 33.14, 33.00,  3.00
  2.11,185.97, 24.73, 54.33, 54.00,  6.00
  2.12,186.35, 24.72, 38.01, 38.00,  1.00
  2.13,186.74, 24.69, 39.12, 39.00,  3.00
  2.14,187.15, 24.67, 41.05, 41.00,  2.00
  2.15,187.65, 24.65, 50.04, 50.00,  2.00
  2.16,187.99, 24.62, 34.13, 34.00,  3.00
  2.17,188.39, 24.60, 40.05, 40.00,  2.00
  2.18,188.88, 24.62, 49.04, 49.00,  2.00
  2.19,189.21, 24.62, 33.00, 33.00,  0.00
  2.20,189.66, 24.61, 45.01, 45.00,  1.00
  2.21,190.03, 24.64, 37.12, 37.00,  3.00
  2.22,190.38, 24.62, 35.06, 35.00,  2.00
  2.23,190.68, 24.65, 30.15, 30.00,  3.00
  2.24,190.96, 24.68, 28.16, 28.00,  3.00
  2.25,191.19, 24.74, 23.77, 23.00,  6.00
  2.26,191.49, 24.77, 30.15, 30.00,  3.00
  2.27,191.73, 24.81, 24.33, 24.00,  4.00
  2.28,191.87, 24.85, 14.56, 14.00,  4.00
  2.29,192.01, 24.89, 14.56, 14.00,  4.00
  2.30,192.10, 24.89,  9.00,  9.00,  0.00
  2.31,192.20, 24.93, 10.77, 10.00,  4.00
  2.32,192.36, 24.97, 16.49, 16.00,  4.00
  2.33,192.46, 25.03, 11.66, 10.00,  6.00
  2.34,192.57, 25.05, 11.18, 11.00,  2.00
  2.35,192.62, 25.09,  6.40,  5.00,  4.00
  2.36,192.69, 25.11,  7.28,  7.00,  2.00
  2.37,192.80, 25.14, 11.40, 11.00,  3.00
  2.38,192.89, 25.19, 10.30,  9.00,  5.00
  2.39,192.96, 25.24,  8.60,  7.00,  5.00
  2.40,193.03, 25.24,  7.00,  7.00,  0.00
  2.41,193.09, 25.28,  7.21,  6.00,  4.00
  2.42,193.18, 25.31,  9.49,  9.00,  3.00
  2.43,193.24, 25.30,  6.08,  6.00,  1.00
  2.44,193.31, 25.34,  8.06,  7.00,  4.00
  2.45,193.43, 25.38, 12.65, 12.00,  4.00
  2.46,193.47, 25.40,  4.47,  4.00,  2.00
  2.47,193.59, 25.45, 13.00, 12.00,  5.00
  2.48,193.64, 25.44,  5.10,  5.00,  1.00
  2.49,193.69, 25.49,  7.07,  5.00,  5.00
  2.50,193.79, 25.49, 10.00, 10.00,  0.00
  2.51,193.88, 25.54, 10.30,  9.00,  5.00
  2.52,193.98, 25.59, 11.18, 10.00,  5.00
  2.53,196.76, 26.96,309.92,278.00,137.00
  2.54,200.41, 28.73,405.65,365.00,177.00
  2.55,201.61, 29.26,131.18,120.00, 53.00
  2.56,202.66, 29.78,117.17,105.00, 52.00
  2.57,203.68, 30.24,111.89,102.00, 46.00
  2.58,205.72, 31.20,225.46,204.00, 96.00
  2.59,208.76, 32.65,336.81,304.00,145.00
  2.60,210.33, 33.37,172.72,157.00, 72.00
  2.61,211.19, 33.78, 95.27, 86.00, 41.00
  2.62,212.81, 34.56,179.80,162.00, 78.00
  2.63,214.56, 35.40,194.12,175.00, 84.00
  2.64,217.41, 36.75,315.36,285.00,135.00
  2.65,220.09, 38.00,295.72,268.00,125.00
  2.66,223.09, 39.38,330.22,300.00,138.00
  2.67,226.12, 40.76,332.95,303.00,138.00
  2.68,228.00, 41.62,206.74,188.00, 86.00
  2.69,229.86, 42.48,204.92,186.00, 86.00
  2.70,231.60, 43.29,191.93,174.00, 81.00
  2.71,232.29, 43.58, 74.85, 69.00, 29.00
  2.72,232.41, 43.63, 13.00, 12.00,  5.00
  2.73,232.55, 43.68, 14.87, 14.00,  5.00
  2.74,232.65, 43.72, 10.77, 10.00,  4.00
  2.75,232.80, 43.78, 16.16, 15.00,  6.00
  2.76,232.92, 43.79, 12.04, 12.00,  1.00
  2.77,233.07, 43.87, 17.00, 15.00,  8.00
  2.78,233.29, 43.92, 22.56, 22.00,  5.00
  2.79,233.43, 44.01, 16.64, 14.00,  9.00
  2.80,233.63, 44.07, 20.88, 20.00,  6.00
  2.81,233.80, 44.15, 18.79, 17.00,  8.00
  2.82,233.99, 44.21, 19.92, 19.00,  6.00
  2.83,234.12, 44.26, 13.93, 13.00,  5.00
  2.84,234.39, 44.39, 29.97, 27.00, 13.00
  2.85,234.59, 44.46, 21.19, 20.00,  7.00
  2.86,234.82, 44.58, 25.94, 23.00, 12.00
  2.87,235.07, 44.64, 25.71, 25.00,  6.00
  2.88,235.32, 44.77, 28.18, 25.00, 13.00
  2.89,235.69, 44.93, 40.31, 37.00, 16.00
  2.90,235.90, 45.02, 22.85, 21.00,  9.00
  2.91,236.19, 45.18, 33.12, 29.00, 16.00
  2.92,236.41, 45.33, 26.63, 22.00, 15.00
  2.93,236.62, 45.47, 25.24, 21.00, 14.00
  2.94,237.09, 45.73, 53.71, 47.00, 26.00
  2.95,237.38, 45.89, 33.12, 29.00, 16.00
  2.96,237.56, 46.00, 21.10, 18.00, 11.00
  2.97,237.66, 46.04, 10.77, 10.00,  4.00
  2.98,237.78, 46.12, 14.42, 12.00,  8.00
